"relative_path","status","old_exists","clean_exists","old_full_path","clean_full_path","old_size","clean_size","old_modified_utc","clean_modified_utc","old_sha256","clean_sha256"
"src/kc_l/audit/run_audit.py","same","True","True","R:\Thesis Project\KC_L v2 - Copy\src\kc_l\audit\run_audit.py","R:\Thesis Project\KC_L v2 - Cleaner\src\kc_l\audit\run_audit.py","2985","2985","2026-03-01T12:15:16.8569619Z","2026-03-01T12:15:16.8569619Z","DD272315CD45FDCAF0025B9CEE22B989915DADFEC9509D3FE559F53017C99F3E","DD272315CD45FDCAF0025B9CEE22B989915DADFEC9509D3FE559F53017C99F3E"
"src/kc_l/audit/run_context.py","same","True","True","R:\Thesis Project\KC_L v2 - Copy\src\kc_l\audit\run_context.py","R:\Thesis Project\KC_L v2 - Cleaner\src\kc_l\audit\run_context.py","2912","2912","2026-02-28T21:15:04.0087297Z","2026-02-28T21:15:04.0087297Z","6E18AF57E78A41F4113E66A04AABE12C16193FD76C6058ABF38EA70C518D0363","6E18AF57E78A41F4113E66A04AABE12C16193FD76C6058ABF38EA70C518D0363"
"src/kc_l/blockstore/__init__.py","same","True","True","R:\Thesis Project\KC_L v2 - Copy\src\kc_l\blockstore\__init__.py","R:\Thesis Project\KC_L v2 - Cleaner\src\kc_l\blockstore\__init__.py","0","0","2026-03-01T12:11:44.3781495Z","2026-03-01T12:11:44.3781495Z","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"src/kc_l/blockstore/schema.py","same","True","True","R:\Thesis Project\KC_L v2 - Copy\src\kc_l\blockstore\schema.py","R:\Thesis Project\KC_L v2 - Cleaner\src\kc_l\blockstore\schema.py","1328","1328","2026-03-03T21:57:32.5221899Z","2026-03-03T21:57:32.5221899Z","CBAEF883011E4ECF189836EB77A9E8F146BB5CFD245991B5A429A823F0538C9B","CBAEF883011E4ECF189836EB77A9E8F146BB5CFD245991B5A429A823F0538C9B"
"src/kc_l/blockstore/writers.py","same","True","True","R:\Thesis Project\KC_L v2 - Copy\src\kc_l\blockstore\writers.py","R:\Thesis Project\KC_L v2 - Cleaner\src\kc_l\blockstore\writers.py","1178","1178","2026-03-01T12:15:43.5629263Z","2026-03-01T12:15:43.5629263Z","86E167D20CF57F2F0E8B54B8D14A26FA4A22183AEE496802944512FDFED65225","86E167D20CF57F2F0E8B54B8D14A26FA4A22183AEE496802944512FDFED65225"
"src/kc_l/cleaning/__init__.py","same","True","True","R:\Thesis Project\KC_L v2 - Copy\src\kc_l\cleaning\__init__.py","R:\Thesis Project\KC_L v2 - Cleaner\src\kc_l\cleaning\__init__.py","0","0","2026-03-03T15:05:53.2629709Z","2026-03-03T15:05:53.2629709Z","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"src/kc_l/cleaning/boilerplate.py","same","True","True","R:\Thesis Project\KC_L v2 - Copy\src\kc_l\cleaning\boilerplate.py","R:\Thesis Project\KC_L v2 - Cleaner\src\kc_l\cleaning\boilerplate.py","5691","5691","2026-03-03T15:07:08.7187680Z","2026-03-03T15:07:08.7187680Z","212501137A5EFF5F4B870D290CAD0A2BAEBE21DE231138918A19A64CD4FCF1D7","212501137A5EFF5F4B870D290CAD0A2BAEBE21DE231138918A19A64CD4FCF1D7"
"src/kc_l/cleaning/enrich.py","same","True","True","R:\Thesis Project\KC_L v2 - Copy\src\kc_l\cleaning\enrich.py","R:\Thesis Project\KC_L v2 - Cleaner\src\kc_l\cleaning\enrich.py","8429","8429","2026-03-03T15:07:29.0835368Z","2026-03-03T15:07:29.0835368Z","0D44A045BBFEBA9C283FD719CD02F339FA0B7C3F052FEEC5333404BE8B8786AD","0D44A045BBFEBA9C283FD719CD02F339FA0B7C3F052FEEC5333404BE8B8786AD"
"src/kc_l/doctree/__init__.py","same","True","True","R:\Thesis Project\KC_L v2 - Copy\src\kc_l\doctree\__init__.py","R:\Thesis Project\KC_L v2 - Cleaner\src\kc_l\doctree\__init__.py","0","0","2026-03-03T10:34:49.5658106Z","2026-03-03T10:34:49.5658106Z","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855","E3B0C44298FC1C149AFBF4C8996FB92427AE41E4649B934CA495991B7852B855"
"src/kc_l/doctree/build.py","same","True","True","R:\Thesis Project\KC_L v2 - Copy\src\kc_l\doctree\build.py","R:\Thesis Project\KC_L v2 - Cleaner\src\kc_l\doctree\build.py","9409","9409","2026-03-03T10:41:02.5483073Z","2026-03-03T10:41:02.5483073Z","9A43EE3416DE5358F54A8EC74EB89C5D18A7AF1E8511409C87A9E05C69E65D5A","9A43EE3416DE5358F54A8EC74EB89C5D18A7AF1E8511409C87A9E05C69E65D5A"
